,Station Name,Station Latitude,Station Longitude,Business Category,Business Name,Rating,Number of Reviews,Address,Contact
6018,Vernon Blvd & 47 Rd,40.7449067,-73.9534573,Coffee & Tea,Takumen,4.0,305,5-50 50th Ave,(718) 361-7973
6019,Vernon Blvd & 47 Rd,40.7449067,-73.9534573,Ramen,Tamashii Blue,4.0,304,47-36 Vernon Blvd,(718) 472-2142
6020,30 Ave & 21 St,40.7703743,-73.9286078,Cocktail Bars,Arcadia Bar & Kitchen,4.5,140,12-21 Astoria Blvd,(347) 730-6181
6021,30 Ave & 21 St,40.7703743,-73.9286078,Italian,Vesta,4.5,755,21-02 30th Ave,(718) 545-5550
6022,30 Ave & 21 St,40.7703743,-73.9286078,American (New),Zeus Kitchen,4.5,79,27-24 21st St,(718) 606-1904
6023,30 Ave & 21 St,40.7703743,-73.9286078,Sandwiches,Compton's,4.5,228,30-02 14th St,(917) 745-0573
6024,30 Ave & 21 St,40.7703743,-73.9286078,Italian,Trattoria Ora,4.5,61,1801 Astoria Blvd,(718) 433-9680
6025,30 Ave & 21 St,40.7703743,-73.9286078,Mediterranean,Anassa Taverna Astoria,4.5,210,28-10 Astoria Blvd,(718) 721-5050
6026,30 Ave & 21 St,40.7703743,-73.9286078,Mexican,Fresco's Cantina,4.5,291,12-14 31st Ave,(347) 808-7338
6027,30 Ave & 21 St,40.7703743,-73.9286078,Steakhouses,Meet The Meat,4.5,418,2392 21st St,(917) 832-7984
6028,30 Ave & 21 St,40.7703743,-73.9286078,Italian,Vite Vinosteria,4.5,689,31-05 34th St,(718) 278-8483
6029,30 Ave & 21 St,40.7703743,-73.9286078,Salvadoran,Salvatoria Kitchen & Bar,4.5,269,31-18 Broadway,(718) 777-2829
6030,30 Ave & 21 St,40.7703743,-73.9286078,Breakfast & Brunch,Sanfords Astoria,4.0,1149,30-13 Broadway,(718) 932-9569
6031,30 Ave & 21 St,40.7703743,-73.9286078,Cocktail Bars,Botte Bar,4.5,163,25-07 Broadway,(718) 433-9079
6032,30 Ave & 21 St,40.7703743,-73.9286078,Indian,Seva Indian Cuisine,4.5,1429,34-11 30th Ave,(718) 626-4440
6033,30 Ave & 21 St,40.7703743,-73.9286078,American (New),Halsey's,4.5,152,3095 33rd St,(718) 267-2735
6034,30 Ave & 21 St,40.7703743,-73.9286078,Coffee & Tea,Astoria Provisions,4.0,209,12-23 Astoria Blvd,(917) 396-4002
6035,30 Ave & 21 St,40.7703743,-73.9286078,Italian,Palermo Restaurant & Bar,4.5,300,2392 21st St,(718) 267-0010
6036,30 Ave & 21 St,40.7703743,-73.9286078,Cocktail Bars,Sekend Sun,4.0,327,32-11 Broadway,(917) 745-0745
6037,30 Ave & 21 St,40.7703743,-73.9286078,Pizza,Milkflower,4.5,760,3412 31st Ave,(718) 204-1300
6038,30 Ave & 21 St,40.7703743,-73.9286078,Greek,Aliada,4.0,462,2919 Broadway,(718) 932-2240
6039,30 Ave & 21 St,40.7703743,-73.9286078,Middle Eastern,Pita Hot,4.0,309,25-13 30th Ave,(718) 932-8282
6040,Center Blvd & 48 Ave,40.745038,-73.957539,Seafood,American Brass,4.5,358,2-01 50th Ave,(718) 806-1106
6041,Center Blvd & 48 Ave,40.745038,-73.957539,Argentine,R40,4.5,205,47-16 Vernon Blvd,(718) 440-9484
6042,Center Blvd & 48 Ave,40.745038,-73.957539,Italian,Maiella,4.0,1125,4610 Center Blvd,(718) 606-1770
6043,Center Blvd & 48 Ave,40.745038,-73.957539,Mexican,Casa Enrique,4.0,1503,5-48 49th Ave,(347) 448-6040
6044,Center Blvd & 48 Ave,40.745038,-73.957539,Latin American,Blend on the Water,4.0,3788,45-40 Center Blvd,(718) 606-9851
6045,Center Blvd & 48 Ave,40.745038,-73.957539,Asian Fusion,SHI,3.5,923,4720 Center Blvd,(347) 242-2450
6046,Center Blvd & 48 Ave,40.745038,-73.957539,Wine Bars,The Baroness Bar Burgers + Beer,4.0,498,47-18 Vernon Blvd,(718) 255-1336
6047,Center Blvd & 48 Ave,40.745038,-73.957539,Pizza,Piatto,4.0,243,1-50 50th Ave,(718) 361-2751
6048,Center Blvd & 48 Ave,40.745038,-73.957539,Irish,Woodbines,4.0,372,47-10 Vernon Blvd,(718) 361-8488
6049,Center Blvd & 48 Ave,40.745038,-73.957539,Latin American,Blend,4.0,989,47-04 Vernon Blvd,(718) 729-2800
6050,Center Blvd & 48 Ave,40.745038,-73.957539,Bars,Jackson's Eatery | Bar,4.5,375,10-37 Jackson Ave,(347) 649-1721
6051,Center Blvd & 48 Ave,40.745038,-73.957539,Peruvian,Jora Restaurant & Bar,4.5,935,47-46 11th St,(718) 392-2033
6052,Center Blvd & 48 Ave,40.745038,-73.957539,Coffee & Tea,Takumen,4.0,305,5-50 50th Ave,(718) 361-7973
6053,Center Blvd & 48 Ave,40.745038,-73.957539,Sushi Bars,Dai Hachi Sushi,4.5,269,46-18 Vernon Blvd,(718) 255-6260
6054,Center Blvd & 48 Ave,40.745038,-73.957539,Mediterranean,4747 LIC,5.0,19,47-25 Vernon Blvd,(718) 734-2415
6055,Center Blvd & 48 Ave,40.745038,-73.957539,Japanese,Murasaki,4.5,263,46-44 Vernon Blvd,(718) 482-7088
6056,Center Blvd & 48 Ave,40.745038,-73.957539,Vietnamese,Cyclo,4.0,654,5-51 47th Ave,(718) 786-8309
6057,Center Blvd & 48 Ave,40.745038,-73.957539,Thai,Tuk Tuk,4.0,775,4906 Vernon Blvd,(718) 472-5598
6058,Center Blvd & 48 Ave,40.745038,-73.957539,Mexican,Skinny's Cantina,3.0,623,4705 Center Blvd,(718) 729-8300
6059,Center Blvd & 48 Ave,40.745038,-73.957539,Szechuan,Hupo,4.5,226,1007 50th Ave,(718) 255-6722
6060,Crescent St & 30 Ave,40.768692,-73.9249574,Italian,Vesta,4.5,755,21-02 30th Ave,(718) 545-5550
6061,Crescent St & 30 Ave,40.768692,-73.9249574,Greek,Akrotiri Grill,4.0,185,29-20 30th Ave,(347) 642-3340
6062,Crescent St & 30 Ave,40.768692,-73.9249574,Cocktail Bars,Trestle,4.5,548,34-02 Broadway,(347) 808-0290
6063,Crescent St & 30 Ave,40.768692,-73.9249574,Mediterranean,Anassa Taverna Astoria,4.5,210,28-10 Astoria Blvd,(718) 721-5050
6064,Crescent St & 30 Ave,40.768692,-73.9249574,Mexican,Ruta Oaxaca Mexican Cuisine,4.5,275,30 E Main St,(631) 569-2233
6065,Crescent St & 30 Ave,40.768692,-73.9249574,Thai,Pye Boat Noodle,4.5,1035,35-13 Broadway,(718) 685-2329
6066,Crescent St & 30 Ave,40.768692,-73.9249574,Middle Eastern,Pita Hot,4.0,309,25-13 30th Ave,(718) 932-8282
6067,Crescent St & 30 Ave,40.768692,-73.9249574,American (New),Zeus Kitchen,4.5,79,27-24 21st St,(718) 606-1904
6068,Crescent St & 30 Ave,40.768692,-73.9249574,Italian,Vite Vinosteria,4.5,689,31-05 34th St,(718) 278-8483
6069,Crescent St & 30 Ave,40.768692,-73.9249574,Seafood,Off The Hook Raw Bar & Grill,4.0,518,28-08 34th St,(718) 721-2112
6070,Crescent St & 30 Ave,40.768692,-73.9249574,Pizza,Bellucci Pizza,4.5,176,2904 30th Ave,(718) 971-1074
6071,Crescent St & 30 Ave,40.768692,-73.9249574,Cocktail Bars,Arcadia Bar & Kitchen,4.5,140,12-21 Astoria Blvd,(347) 730-6181
6072,Crescent St & 30 Ave,40.768692,-73.9249574,Steakhouses,Meet The Meat,4.5,418,2392 21st St,(917) 832-7984
6073,Crescent St & 30 Ave,40.768692,-73.9249574,American (New),Halsey's,4.5,152,3095 33rd St,(718) 267-2735
6074,Crescent St & 30 Ave,40.768692,-73.9249574,Salvadoran,Salvatoria Kitchen & Bar,4.5,269,31-18 Broadway,(718) 777-2829
6075,Crescent St & 30 Ave,40.768692,-73.9249574,Cajun/Creole,Sugar Freak,4.0,2063,37-11 30th Ave,(718) 606-1900
6076,Crescent St & 30 Ave,40.768692,-73.9249574,Breakfast & Brunch,Sanfords Astoria,4.0,1149,30-13 Broadway,(718) 932-9569
6077,Crescent St & 30 Ave,40.768692,-73.9249574,Gastropubs,The Bonnie,4.0,791,29-12 23rd Ave,(718) 274-2105
6078,Crescent St & 30 Ave,40.768692,-73.9249574,Indian,Seva Indian Cuisine,4.5,1429,34-11 30th Ave,(718) 626-4440
6079,Crescent St & 30 Ave,40.768692,-73.9249574,Cocktail Bars,La Vecina,4.5,222,30-66 Steinway St,(718) 433-9399
6080,Steinway St & 28 Ave,40.7656251,-73.9136695,Cajun/Creole,Sugar Freak,4.0,2063,37-11 30th Ave,(718) 606-1900
6081,Steinway St & 28 Ave,40.7656251,-73.9136695,Cajun/Creole,theBoil,4.0,2067,40-11 30th Ave,(347) 935-3015
6082,Steinway St & 28 Ave,40.7656251,-73.9136695,Barbeque,Butcher Bar,4.0,2297,37-10 30th Ave,(718) 606-8140
6083,Steinway St & 28 Ave,40.7656251,-73.9136695,Latin American,Blend Astoria,3.5,878,37-17 30th Ave,(718) 606-6383
6084,Steinway St & 28 Ave,40.7656251,-73.9136695,New Mexican Cuisine,Hoja Santa,4.5,114,40-17 30th Ave,(718) 685-2099
6085,Steinway St & 28 Ave,40.7656251,-73.9136695,Tacos,Taco Tumba,4.0,116,30-10 Steinway St,(929) 208-0755
6086,Steinway St & 28 Ave,40.7656251,-73.9136695,Breakfast & Brunch,The Shady Lady,4.0,1044,34-19 30th Ave,(718) 440-9081
6087,Steinway St & 28 Ave,40.7656251,-73.9136695,Donuts,Comfortland,4.0,335,40-09 30th Ave,(347) 642-9932
6088,Steinway St & 28 Ave,40.7656251,-73.9136695,Vietnamese,District Saigon,4.5,763,37-15 Broadway,(718) 956-0007
6089,Steinway St & 28 Ave,40.7656251,-73.9136695,Australian,The Thirsty Koala,4.5,1251,35-12 Ditmars Blvd,(718) 626-5430
6090,Steinway St & 28 Ave,40.7656251,-73.9136695,Mediterranean,Dar Yemma,4.5,65,25-21 Steinway St,(347) 608-8253
6091,Steinway St & 28 Ave,40.7656251,-73.9136695,Italian,Via Trenta Osteria,3.5,523,3619 30th Ave,(718) 545-2090
6092,Steinway St & 28 Ave,40.7656251,-73.9136695,Sandwiches,Krave It Pizza & Sandwich Joint ,4.5,79,36-18 30th Ave,(646) 927-2999
6093,Steinway St & 28 Ave,40.7656251,-73.9136695,Thai,Pye Boat Noodle,4.5,1035,35-13 Broadway,(718) 685-2329
6094,Steinway St & 28 Ave,40.7656251,-73.9136695,Cocktail Bars,KAM RAI THAI,4.5,50,43-11 28th Ave,(929) 522-0999
6095,Steinway St & 28 Ave,40.7656251,-73.9136695,Indian,Seva Indian Cuisine,4.5,1429,34-11 30th Ave,(718) 626-4440
6096,Steinway St & 28 Ave,40.7656251,-73.9136695,Pubs,Blackbird's Bar & Restaurant,4.0,281,41-19 30th Ave,(718) 943-6899
6097,Steinway St & 28 Ave,40.7656251,-73.9136695,Seafood,Off The Hook Raw Bar & Grill,4.0,518,28-08 34th St,(718) 721-2112
6098,Steinway St & 28 Ave,40.7656251,-73.9136695,Mexican,Ruta Oaxaca Mexican Cuisine,4.5,275,30 E Main St,(631) 569-2233
6099,Steinway St & 28 Ave,40.7656251,-73.9136695,Pizza,Andrew Bellucci's Pizzeria,4.5,143,37-08 30th Ave,(718) 407-2497
6100,28 Ave & 35 St,40.7671,-73.9169858,Breakfast & Brunch,The Shady Lady,4.0,1044,34-19 30th Ave,(718) 440-9081
6101,28 Ave & 35 St,40.7671,-73.9169858,Indian,Seva Indian Cuisine,4.5,1429,34-11 30th Ave,(718) 626-4440
6102,28 Ave & 35 St,40.7671,-73.9169858,Cajun/Creole,Sugar Freak,4.0,2063,37-11 30th Ave,(718) 606-1900
6103,28 Ave & 35 St,40.7671,-73.9169858,Seafood,Off The Hook Raw Bar & Grill,4.0,518,28-08 34th St,(718) 721-2112
6104,28 Ave & 35 St,40.7671,-73.9169858,Bars,Sweet Afton,4.0,1168,30-09 34th St,(718) 777-2570
6105,28 Ave & 35 St,40.7671,-73.9169858,Greek,Ovelia,4.0,851,3401 30th Ave,(718) 721-7217
6106,28 Ave & 35 St,40.7671,-73.9169858,Brazilian,Favela Grill,4.0,281,33-18 28th Ave,(718) 545-8250
6107,28 Ave & 35 St,40.7671,-73.9169858,Barbeque,Butcher Bar,4.0,2297,37-10 30th Ave,(718) 606-8140
6108,28 Ave & 35 St,40.7671,-73.9169858,Japanese,Pink Nori,4.0,502,36-06 30th Ave,(718) 685-2365
6109,28 Ave & 35 St,40.7671,-73.9169858,Australian,The Thirsty Koala,4.5,1251,35-12 Ditmars Blvd,(718) 626-5430
6110,28 Ave & 35 St,40.7671,-73.9169858,Vietnamese,District Saigon,4.5,763,37-15 Broadway,(718) 956-0007
6111,28 Ave & 35 St,40.7671,-73.9169858,Cocktail Bars,Trestle,4.5,548,34-02 Broadway,(347) 808-0290
6112,28 Ave & 35 St,40.7671,-73.9169858,Italian,Via Trenta Osteria,3.5,523,3619 30th Ave,(718) 545-2090
6113,28 Ave & 35 St,40.7671,-73.9169858,Thai,Pye Boat Noodle,4.5,1035,35-13 Broadway,(718) 685-2329
6114,28 Ave & 35 St,40.7671,-73.9169858,Sandwiches,Krave It Pizza & Sandwich Joint ,4.5,79,36-18 30th Ave,(646) 927-2999
6115,28 Ave & 35 St,40.7671,-73.9169858,Italian,Vite Vinosteria,4.5,689,31-05 34th St,(718) 278-8483
6116,28 Ave & 35 St,40.7671,-73.9169858,Korean,KAL,4.5,278,34-05 30th Ave,(929) 349-1230
6117,28 Ave & 35 St,40.7671,-73.9169858,Mexican,Ruta Oaxaca Mexican Cuisine,4.5,275,30 E Main St,(631) 569-2233
6118,28 Ave & 35 St,40.7671,-73.9169858,Latin American,Blend Astoria,3.5,878,37-17 30th Ave,(718) 606-6383
6119,28 Ave & 35 St,40.7671,-73.9169858,Thai,Pochana Thai Kitchen,4.0,272,33-16 30th Ave,(718) 956-9559
6120,27 St & Hunter St,40.7485,-73.941275,Szechuan,Da Long Yi Hot Pot,5.0,156,42-22 Crescent St,(347) 813-4569
6121,27 St & Hunter St,40.7485,-73.941275,Pizza,Levante,4.0,345,26-21 Jackson Ave,(718) 392-3885
6122,27 St & Hunter St,40.7485,-73.941275,Ramen,Kyuramen - Long Island City,4.0,193,27-17 42nd Rd,(718) 786-6918
6123,27 St & Hunter St,40.7485,-73.941275,Wine Bars,Murray's Cheese Bar,4.0,870,28-30 Jackson Ave,(347) 990-2130
6124,27 St & Hunter St,40.7485,-73.941275,Sushi Bars,Ooi Sushi and Bar,4.5,313,42-36 Crescent St,(718) 433-1888
6125,27 St & Hunter St,40.7485,-73.941275,Halal,Hot Peppers,4.5,136,28-21 Steinway St,(347) 676-7566
6126,27 St & Hunter St,40.7485,-73.941275,Japanese,Sapps,4.0,289,27-26 Jackson Ave,(718) 784-5555
6127,27 St & Hunter St,40.7485,-73.941275,Steakhouses,M. Wells,3.5,439,43-15 Crescent St,(718) 786-9060
6128,27 St & Hunter St,40.7485,-73.941275,American (New),The Beast Next Door,4.0,263,42-51 27th St,(718) 255-1612
6129,27 St & Hunter St,40.7485,-73.941275,Cocktail Bars,Vert Frais,4.5,41,43-10 Crescent St,(718) 255-1612
6130,27 St & Hunter St,40.7485,-73.941275,Coffee & Tea,Knock Knock,4.5,57,42-44 Crescent St,(929) 600-5568
6131,27 St & Hunter St,40.7485,-73.941275,Mexican,Tacombi,4.0,118,27-10 43rd Ave,(929) 296-0316
6132,27 St & Hunter St,40.7485,-73.941275,American (New),Carla,4.5,163,25-03 40th Avenue,(929) 204-6264
6133,27 St & Hunter St,40.7485,-73.941275,Chinese,Xi'an Famous Foods,4.0,167,26-19 Jackson Ave,(212) 786-2068
6134,27 St & Hunter St,40.7485,-73.941275,Italian,Il Falco,4.5,343,21-50 44th Dr,(718) 707-0009
6135,27 St & Hunter St,40.7485,-73.941275,Mexican,Hot Peppers,4.5,17,27-35 Jackson Ave,(347) 783-4924
6136,27 St & Hunter St,40.7485,-73.941275,Lounges,Dutch Kills,4.0,842,27-24 Jackson Ave,(718) 383-2724
6137,27 St & Hunter St,40.7485,-73.941275,Peruvian,Jora Restaurant & Bar,4.5,935,47-46 11th St,(718) 392-2033
6138,27 St & Hunter St,40.7485,-73.941275,Indian,Raj's Indian Kitchen,4.0,347,42-12 28th St,(718) 361-8844
6139,27 St & Hunter St,40.7485,-73.941275,Shanghainese,Jing Li,4.0,35,27-35 Jackson Ave,(718) 255-6661
6140,Newtown Ave & 23 St,40.7713615,-73.9246145,Mediterranean,Anassa Taverna Astoria,4.5,210,28-10 Astoria Blvd,(718) 721-5050
6141,Newtown Ave & 23 St,40.7713615,-73.9246145,American (New),Zeus Kitchen,4.5,79,27-24 21st St,(718) 606-1904
6142,Newtown Ave & 23 St,40.7713615,-73.9246145,Italian,Vesta,4.5,755,21-02 30th Ave,(718) 545-5550
6143,Newtown Ave & 23 St,40.7713615,-73.9246145,Cocktail Bars,Arcadia Bar & Kitchen,4.5,140,12-21 Astoria Blvd,(347) 730-6181
6144,Newtown Ave & 23 St,40.7713615,-73.9246145,Italian,Trattoria Ora,4.5,61,1801 Astoria Blvd,(718) 433-9680
6145,Newtown Ave & 23 St,40.7713615,-73.9246145,Steakhouses,Meet The Meat,4.5,418,2392 21st St,(917) 832-7984
6146,Newtown Ave & 23 St,40.7713615,-73.9246145,Greek,BZ Grill,4.0,692,2702 Astoria Blvd,(718) 932-7858
6147,Newtown Ave & 23 St,40.7713615,-73.9246145,Middle Eastern,Pita Hot,4.0,309,25-13 30th Ave,(718) 932-8282
6148,Newtown Ave & 23 St,40.7713615,-73.9246145,Gastropubs,The Bonnie,4.0,791,29-12 23rd Ave,(718) 274-2105
6149,Newtown Ave & 23 St,40.7713615,-73.9246145,Italian,Vite Vinosteria,4.5,689,31-05 34th St,(718) 278-8483
6150,Newtown Ave & 23 St,40.7713615,-73.9246145,Pizza,Basil Brick Oven Pizza,4.0,548,28-17 Astoria Blvd,(718) 204-1205
6151,Newtown Ave & 23 St,40.7713615,-73.9246145,Cocktail Bars,La Vecina,4.5,222,30-66 Steinway St,(718) 433-9399
6152,Newtown Ave & 23 St,40.7713615,-73.9246145,Seafood,Off The Hook Raw Bar & Grill,4.0,518,28-08 34th St,(718) 721-2112
6153,Newtown Ave & 23 St,40.7713615,-73.9246145,Indian,Seva Indian Cuisine,4.5,1429,34-11 30th Ave,(718) 626-4440
6154,Newtown Ave & 23 St,40.7713615,-73.9246145,Cajun/Creole,Sugar Freak,4.0,2063,37-11 30th Ave,(718) 606-1900
6155,Newtown Ave & 23 St,40.7713615,-73.9246145,Italian,Palermo Restaurant & Bar,4.5,300,2392 21st St,(718) 267-0010
6156,Newtown Ave & 23 St,40.7713615,-73.9246145,Mexican,Fresco's Cantina,4.5,291,12-14 31st Ave,(347) 808-7338
6157,Newtown Ave & 23 St,40.7713615,-73.9246145,American (New),Halsey's,4.5,152,3095 33rd St,(718) 267-2735
6158,Newtown Ave & 23 St,40.7713615,-73.9246145,French,Chez Olivia,4.5,73,29-11 23rd Ave,(718) 204-0952
6159,Newtown Ave & 23 St,40.7713615,-73.9246145,Greek,Akrotiri Grill,4.0,185,29-20 30th Ave,(347) 642-3340
6160,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,American (Traditional),Rustik Tavern,4.0,588,471 Dekalb Ave,(347) 406-9700
6161,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,American (New),Baron's,4.0,345,564 Dekalb Ave,(718) 230-7100
6162,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,Thai,Dannee Thai,4.0,187,433 Dekalb Ave,(718) 622-4422
6163,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,Bars,Chilo's,4.0,240,323 Franklin Ave,(718) 676-5245
6164,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,Seafood,Peaches Grand,4.0,395,285 Grand Ave,(718) 638-9500
6165,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,Pizza,Speedy Romeo,4.0,682,376 Classon Ave,(646) 542-1848
6166,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,Tacos,Swell Dive,4.0,113,1013 Bedford Ave,(917) 652-4779
6167,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,Coffee & Tea,Brooklyn Kolache,4.5,371,520 Dekalb Ave,(718) 398-1111
6168,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,Italian,Osteria Brooklyn,4.5,233,458 Myrtle Ave,(646) 750-9156
6169,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,Mexican,Martha's Cocina Mexicana,4.5,35,338 Franklin Ave,(347) 240-5049
6170,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,Specialty Food,Mekelburg's,4.0,346,293 Grand Ave,(718) 399-2337
6171,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,Italian,Aita,4.0,324,132 Greene Ave,(718) 576-3584
6172,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,Korean,Taste Korea 232,3.5,223,232 Taaffe Pl,(718) 623-2232
6173,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,Cajun/Creole,Soco,4.0,2360,509 Myrtle Ave,(718) 783-1936
6174,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,Sushi Bars,U-gu,4.5,190,541 Myrtle Ave,(718) 857-0222
6175,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,Cocktail Bars,The Holler,4.5,39,348 Franklin Ave,(917) 966-5723
6176,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,Breakfast & Brunch,Seven Restaurant,4.5,118,470 Nostrand Ave,(718) 230-7777
6177,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,Gastropubs,Putnam's Pub & Cooker,4.0,506,419 Myrtle Ave,(347) 799-2382
6178,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,American (Traditional),Emily,4.0,924,919 Fulton St,(347) 844-9588
6179,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,Pizza,Il Porto,4.0,392,37 Washington Ave,(718) 624-0954
6180,Stagg St & Morgan Ave,40.710681,-73.93372,American (New),Otis,5.0,527,18 Harrison Pl,(646) 886-0601
6181,Stagg St & Morgan Ave,40.710681,-73.93372,Asian Fusion,Aura Cocina,4.0,134,315 Meserole St,(929) 489-3777
6182,Stagg St & Morgan Ave,40.710681,-73.93372,Ramen,ICHIRAN - Brooklyn,4.0,1357,374 Johnson Ave,(718) 381-0491
6183,Stagg St & Morgan Ave,40.710681,-73.93372,Taiwanese,Win Son,4.0,737,159 Graham Ave,(347) 457-6010
6184,Stagg St & Morgan Ave,40.710681,-73.93372,Pizza,Roberta's,4.0,3315,261 Moore St,(718) 417-1118
6185,Stagg St & Morgan Ave,40.710681,-73.93372,Venezuelan,Casa Ora,4.5,249,148 Meserole St,(718) 223-3116
6186,Stagg St & Morgan Ave,40.710681,-73.93372,Ethiopian,Bunna Cafe,4.5,799,1084 Flushing Ave,(347) 295-2227
6187,Stagg St & Morgan Ave,40.710681,-73.93372,Cocktail Bars,Lohi Roof Top Bar,4.0,27,314 Scholes St,(347) 566-3662
6188,Stagg St & Morgan Ave,40.710681,-73.93372,Vegetarian,Newtown,4.5,161,55 Waterbury St,(347) 984-6215
6189,Stagg St & Morgan Ave,40.710681,-73.93372,Bars,Our Wicked Lady,4.5,83,153 Morgan Ave,(347) 984-6215
6190,Stagg St & Morgan Ave,40.710681,-73.93372,Cocktail Bars,Ammazzacaffè,4.5,310,702 Grand St,(929) 250-2875
6191,Stagg St & Morgan Ave,40.710681,-73.93372,Middle Eastern,Pita Palace,5.0,296,413 Graham Ave,(718) 383-0550
6192,Stagg St & Morgan Ave,40.710681,-73.93372,Mexican,Viva Toro,3.5,101,987 Grand St,(718) 384-2138
6193,Stagg St & Morgan Ave,40.710681,-73.93372,Bars,The Anchored Inn,4.0,161,57 Waterbury St,(718) 576-3297
6194,Stagg St & Morgan Ave,40.710681,-73.93372,Persian/Iranian,Eyval,4.5,87,25 Bogart St,(929) 339-0438
6195,Stagg St & Morgan Ave,40.710681,-73.93372,Cocktail Bars,Pizzette,4.5,78,191 Graham Ave,(917) 909-1555
6196,Stagg St & Morgan Ave,40.710681,-73.93372,Cinema,Syndicated Bar Theater Kitchen,4.0,247,40 Bogart St,(718) 386-3399
6197,Stagg St & Morgan Ave,40.710681,-73.93372,Greek,Yia Yia's Taverna,4.5,326,1035 Flushing Ave,(718) 821-5900
6198,Stagg St & Morgan Ave,40.710681,-73.93372,Comfort Food,The Brooklyn Tree,4.5,215,188 Montrose Ave,(917) 909-0307
6199,Stagg St & Morgan Ave,40.710681,-73.93372,Thai,Forever Thai,4.5,144,1031 Flushing Ave,(347) 599-0277
6200,White St & Moore St,40.704508,-73.9351,Pizza,Roberta's,4.0,3315,261 Moore St,(718) 417-1118
6201,White St & Moore St,40.704508,-73.9351,American (New),Otis,5.0,527,18 Harrison Pl,(646) 886-0601
6202,White St & Moore St,40.704508,-73.9351,Persian/Iranian,Eyval,4.5,87,25 Bogart St,(929) 339-0438
6203,White St & Moore St,40.704508,-73.9351,Japanese,Bushniwa,4.0,293,250 Varet St,(718) 386-8886
6204,White St & Moore St,40.704508,-73.9351,Cinema,Syndicated Bar Theater Kitchen,4.0,247,40 Bogart St,(718) 386-3399
6205,White St & Moore St,40.704508,-73.9351,Japanese,Momo Sushi Shack,4.0,670,43 Bogart St,(718) 418-6666
6206,White St & Moore St,40.704508,-73.9351,Ethiopian,Bunna Cafe,4.5,799,1084 Flushing Ave,(347) 295-2227
6207,White St & Moore St,40.704508,-73.9351,Taiwanese,Win Son,4.0,737,159 Graham Ave,(347) 457-6010
6208,White St & Moore St,40.704508,-73.9351,Greek,Yia Yia's Taverna,4.5,326,1035 Flushing Ave,(718) 821-5900
6209,White St & Moore St,40.704508,-73.9351,Thai,Forever Thai,4.5,144,1031 Flushing Ave,(347) 599-0277
6210,White St & Moore St,40.704508,-73.9351,Seafood,Shaking Crab - Williamsburg,4.5,42,1045 Flushing Ave,(347) 725-3262
6211,White St & Moore St,40.704508,-73.9351,Venezuelan,Casa Ora,4.5,249,148 Meserole St,(718) 223-3116
6212,White St & Moore St,40.704508,-73.9351,Ramen,ICHIRAN - Brooklyn,4.0,1357,374 Johnson Ave,(718) 381-0491
6213,White St & Moore St,40.704508,-73.9351,Latin American,Tabaré,4.5,87,1006 Flushing Ave,(347) 318-3885
6214,White St & Moore St,40.704508,-73.9351,Asian Fusion,Amituofo Vegan Cuisine,4.5,160,19 Bogart St,(718) 366-2288
6215,White St & Moore St,40.704508,-73.9351,Mexican,Sobre Masa,4.5,40,52 Harrison Pl,(347) 844-2343
6216,White St & Moore St,40.704508,-73.9351,Thai,Chiangmai Diner,4.5,21,942 Flushing Ave,(718) 673-8848
6217,White St & Moore St,40.704508,-73.9351,Mexican,El Santo Taqueria,4.0,101,1053 Flushing Ave,(718) 366-3138
6218,White St & Moore St,40.704508,-73.9351,Lebanese,Semkeh,4.5,54,53 Morgan Ave,(347) 599-2889
6219,White St & Moore St,40.704508,-73.9351,Cocktail Bars,Ammazzacaffè,4.5,310,702 Grand St,(929) 250-2875
6220,Columbia St & Kane St,40.68763155,-74.0016256,Bars,Act One Bar and Restaurant,4.5,22,117 Columbia St,(718) 858-8898
6221,Columbia St & Kane St,40.68763155,-74.0016256,Southern,Popina,4.5,94,127 Columbia St,(718) 222-1901
6222,Columbia St & Kane St,40.68763155,-74.0016256,Argentine,Libertador Steakhouse - Brooklyn,4.0,298,404 Henry St,(347) 689-3122
